DNAME2014,DCODE2014,CNAME2014,CCODE2014,SNAME2014,SCODE2014,PNAME2014,PCODE2014,pname_2,%HhH(10-17,distances -Public Health facility,distances -Public Health facility Less than 5 Kms Percent,distances -Public Health facility 5 Kms or More Percent,distances - Private Health Facility,distances - Private Health Facility Less than 5 Kms Percent,distances - Private Health Facility 5 Kms or More Percent,Kitchen,No Kitchen Percent,Bathroom,Make shift Bathroom Percent,No bathroom Percent,Toilet Facility,No facility bush polythene bags bucket Percent,Water Scource,Public taps Percent,Distance - Public Primary school,Distance - Public Primary school Less than 5 Kms Percent,Distance - Public Primary school 5 Kms or More Percent,pname_1,Tenement (Muzigo) Percent,Floor,Floor Earth Percent,Floor Rammed earth Percent,Wall,Wall Mud and pole Percent,Parish,HH poverty
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,KOMAMBOGA,0,KOMAMBOGA,0.7,KOMAMBOGA,84.2,15.8,KOMAMBOGA,92.7,7.3,KOMAMBOGA,26.1,KOMAMBOGA,1.3,0.4,KOMAMBOGA,0,KOMAMBOGA,33.2,KOMAMBOGA,87.4,12.6,KOMAMBOGA,43.8,KOMAMBOGA,2.6,2.4,KOMAMBOGA,0.5,KOMAMBOGA,0.42
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MAKERERE II,0,MAKERERE II,0.5,MAKERERE II,94,6,MAKERERE II,95.3,4.7,MAKERERE II,40.3,MAKERERE II,0.7,0.9,MAKERERE II,0.2,MAKERERE II,23.8,MAKERERE II,95.2,4.8,MAKERERE II,53.3,MAKERERE II,2.5,1.2,MAKERERE II,0.8,MAKERERE II,0.68
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MAKERERE I,0,MAKERERE I,0.5,MAKERERE I,96,4,MAKERERE I,96.6,3.4,MAKERERE I,37,MAKERERE I,1.3,0.6,MAKERERE I,0.1,MAKERERE I,29.1,MAKERERE I,97.5,2.5,MAKERERE I,50.5,MAKERERE I,3.2,1.3,MAKERERE I,4.4,MAKERERE I,0.73
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,NAKASERO IV,0,NAKASERO IV,0,NAKASERO IV,96.5,3.5,NAKASERO IV,98.4,1.6,NAKASERO IV,14.2,NAKASERO IV,0.6,0.3,NAKASERO IV,0,NAKASERO IV,10,NAKASERO IV,97.7,2.3,NAKASERO IV,2.9,NAKASERO IV,0,0,NAKASERO IV,0,NAKASERO IV,
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,NAKASERO III,0,NAKASERO III,0.6,NAKASERO III,98.6,1.4,NAKASERO III,100,0,NAKASERO III,21.8,NAKASERO III,0.8,0.6,NAKASERO III,0,NAKASERO III,40.6,NAKASERO III,100,0,NAKASERO III,15.4,NAKASERO III,0.6,0,NAKASERO III,0,NAKASERO III,0.18
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,OLD KAMPALA,0,OLD KAMPALA,0.3,OLD KAMPALA,97.2,2.8,OLD KAMPALA,97,3,OLD KAMPALA,16.7,OLD KAMPALA,1.7,8.7,OLD KAMPALA,0,OLD KAMPALA,9,OLD KAMPALA,98.8,1.2,OLD KAMPALA,9.7,OLD KAMPALA,1.7,0.7,OLD KAMPALA,0.2,OLD KAMPALA,0.65
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,NAKIVUBO SHAURIYAAKO,0,NAKIVUBO SHAURIYAAKO,0.7,NAKIVUBO SHAURIYAAKO,98.8,1.2,NAKIVUBO SHAURIYAAKO,97.3,2.7,NAKIVUBO SHAURIYAAKO,7.9,NAKIVUBO SHAURIYAAKO,0.7,0.7,NAKIVUBO SHAURIYAAKO,0,NAKIVUBO SHAURIYAAKO,3.2,NAKIVUBO SHAURIYAAKO,100,0,NAKIVUBO SHAURIYAAKO,1.2,NAKIVUBO SHAURIYAAKO,0.7,1,NAKIVUBO SHAURIYAAKO,0,NAKIVUBO SHAURIYAAKO,0.17
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,BWAISE II,0,BWAISE II,0.6,BWAISE II,92,8,BWAISE II,95.8,4.2,BWAISE II,52.2,BWAISE II,2.1,0.5,BWAISE II,0.1,BWAISE II,49.9,BWAISE II,93.3,6.7,BWAISE II,67.9,BWAISE II,2.7,1.1,BWAISE II,1.8,BWAISE II,0.46
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,BWAISE I,0,BWAISE I,0.8,BWAISE I,83.8,16.2,BWAISE I,92.8,7.2,BWAISE I,53.7,BWAISE I,1.3,1.4,BWAISE I,0.5,BWAISE I,54.9,BWAISE I,85.4,14.6,BWAISE I,60.1,BWAISE I,3.4,0.8,BWAISE I,2.2,BWAISE I,0.52
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,KANYANYA,0,KANYANYA,0.5,KANYANYA,78.8,21.2,KANYANYA,88.2,11.8,KANYANYA,39,KANYANYA,1.1,0.6,KANYANYA,*,KANYANYA,36.8,KANYANYA,86.5,13.5,KANYANYA,48.4,KANYANYA,1.4,2,KANYANYA,0.3,KANYANYA,0.51
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,BWAISE III,0,BWAISE III,0.8,BWAISE III,93.9,6.1,BWAISE III,97.2,2.8,BWAISE III,43,BWAISE III,3.4,0.9,BWAISE III,0.2,BWAISE III,30,BWAISE III,94.8,5.2,BWAISE III,71.7,BWAISE III,8.3,1.1,BWAISE III,0.6,BWAISE III,0.68
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,GGABA,0,GGABA,0.6,GGABA,55,45,GGABA,83.1,16.9,GGABA,43.5,GGABA,0.9,1.9,GGABA,1,GGABA,40,GGABA,89.9,10.1,GGABA,47.7,GGABA,3.6,3.1,GGABA,2.8,GGABA,0.56
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,BUZIGA,0,BUZIGA,0.4,BUZIGA,61.2,38.8,BUZIGA,73.5,26.5,BUZIGA,36.9,BUZIGA,1.1,1,BUZIGA,0.2,BUZIGA,21.6,BUZIGA,80.9,19.1,BUZIGA,35.9,BUZIGA,2.6,2.4,BUZIGA,0.9,BUZIGA,0.51
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KANSANGA,0,KANSANGA,0.6,KANSANGA,74.5,25.5,KANSANGA,95.6,4.4,KANSANGA,38.3,KANSANGA,0.8,0.3,KANSANGA,0.1,KANSANGA,17.9,KANSANGA,97,3,KANSANGA,54.9,KANSANGA,1.5,1.5,KANSANGA,0.3,KANSANGA,0.46
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KABALAGALA,0,KABALAGALA,0.3,KABALAGALA,61.9,38.1,KABALAGALA,89.1,10.9,KABALAGALA,52.7,KABALAGALA,1.9,0.6,KABALAGALA,1,KABALAGALA,55.3,KABALAGALA,84.8,15.2,KABALAGALA,70.1,KABALAGALA,4.8,2.6,KABALAGALA,6.7,KABALAGALA,0.52
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KATWE II,0,KATWE II,0.7,KATWE II,91.3,8.7,KATWE II,96.6,3.4,KATWE II,61.7,KATWE II,8.3,3.8,KATWE II,0.6,KATWE II,64,KATWE II,92.8,7.2,KATWE II,73.3,KATWE II,9.3,4.2,KATWE II,12.8,KATWE II,1.12
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KATWE I,0,KATWE I,0.7,KATWE I,82.5,17.5,KATWE I,85.2,14.8,KATWE I,60.8,KATWE I,1.8,6.4,KATWE I,0.2,KATWE I,60.7,KATWE I,82.9,17.1,KATWE I,69.9,KATWE I,3.8,2.8,KATWE I,1.3,KATWE I,1.12
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KANSANGA,0,KANSANGA,0.6,KANSANGA,74.5,25.5,KANSANGA,95.6,4.4,KANSANGA,38.3,KANSANGA,0.8,0.3,KANSANGA,0.1,KANSANGA,17.9,KANSANGA,97,3,KANSANGA,54.9,KANSANGA,1.5,1.5,KANSANGA,0.3,KANSANGA,0.46
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KIBULI,0,KIBULI,0.4,KIBULI,91.2,8.8,KIBULI,97.5,2.5,KIBULI,52.4,KIBULI,0.9,1.3,KIBULI,0.3,KIBULI,58.7,KIBULI,98.4,1.6,KIBULI,64.4,KIBULI,5.2,2.2,KIBULI,8.2,KIBULI,0.71
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MAKERERE UNIVERSITY,0,MAKERERE UNIVERSITY,0.3,MAKERERE UNIVERSITY,92.8,7.2,MAKERERE UNIVERSITY,93.2,6.8,MAKERERE UNIVERSITY,19.3,MAKERERE UNIVERSITY,0.9,0.5,MAKERERE UNIVERSITY,0,MAKERERE UNIVERSITY,26.5,MAKERERE UNIVERSITY,92.6,7.4,MAKERERE UNIVERSITY,12.4,MAKERERE UNIVERSITY,0.3,0.6,MAKERERE UNIVERSITY,0,MAKERERE UNIVERSITY,0.55
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MAKERERE III,0,MAKERERE III,1,MAKERERE III,86.9,13.1,MAKERERE III,91.3,8.7,MAKERERE III,54.6,MAKERERE III,4.4,3,MAKERERE III,0.5,MAKERERE III,57.1,MAKERERE III,89.1,10.9,MAKERERE III,75.3,MAKERERE III,8.5,2.5,MAKERERE III,3.5,MAKERERE III,0.91
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MULAGO I,0,MULAGO I,1,MULAGO I,91.1,8.9,MULAGO I,96.3,3.7,MULAGO I,23.1,MULAGO I,1,4.8,MULAGO I,0.6,MULAGO I,31.6,MULAGO I,97.1,2.9,MULAGO I,19.9,MULAGO I,3.8,3.4,MULAGO I,5,MULAGO I,0.41
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MPERERWE,0,MPERERWE,0.9,MPERERWE,80,20,MPERERWE,89.2,10.8,MPERERWE,31.5,MPERERWE,0.9,0.3,MPERERWE,0.1,MPERERWE,37.4,MPERERWE,85.1,14.9,MPERERWE,45.1,MPERERWE,4.6,1.4,MPERERWE,0.3,MPERERWE,0.65
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MULAGO III,0,MULAGO III,0.6,MULAGO III,88.7,11.3,MULAGO III,94.1,5.9,MULAGO III,50.1,MULAGO III,1.5,0.9,MULAGO III,0.2,MULAGO III,36.3,MULAGO III,92.9,7.1,MULAGO III,72.8,MULAGO III,4.6,2.2,MULAGO III,5.6,MULAGO III,0.63
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,MULAGO II,0,MULAGO II,0.9,MULAGO II,98,2,MULAGO II,98.4,1.6,MULAGO II,59,MULAGO II,1.4,2.1,MULAGO II,0.1,MULAGO II,63.3,MULAGO II,97.8,2.2,MULAGO II,77.1,MULAGO II,7,3.2,MULAGO II,15.9,MULAGO II,0.71
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,BUKASA,0,BUKASA,0.6,BUKASA,95,5,BUKASA,96,4,BUKASA,38,BUKASA,4.4,5.1,BUKASA,6,BUKASA,25,BUKASA,93.3,6.7,BUKASA,55.2,BUKASA,4.7,3.1,BUKASA,4.3,BUKASA,1.04
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,WANDEGEYA,0,WANDEGEYA,0.5,WANDEGEYA,96.2,3.8,WANDEGEYA,96.4,3.6,WANDEGEYA,44.6,WANDEGEYA,6.3,21.3,WANDEGEYA,12,WANDEGEYA,55.4,WANDEGEYA,93.3,6.7,WANDEGEYA,48,WANDEGEYA,8.5,4.5,WANDEGEYA,5.4,WANDEGEYA,2.66
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,WABIGALO,0,WABIGALO,0.7,WABIGALO,86.2,13.8,WABIGALO,94.4,5.6,WABIGALO,51.5,WABIGALO,3.7,1.3,WABIGALO,0.2,WABIGALO,54.7,WABIGALO,90.5,9.5,WABIGALO,70.4,WABIGALO,3.3,3,WABIGALO,4.7,WABIGALO,0.62
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,NSAMBYA RAILWAY,0,NSAMBYA RAILWAY,0,NSAMBYA RAILWAY,96,4,NSAMBYA RAILWAY,96,4,NSAMBYA RAILWAY,30,NSAMBYA RAILWAY,16,0,NSAMBYA RAILWAY,0,NSAMBYA RAILWAY,12,NSAMBYA RAILWAY,96,4,NSAMBYA RAILWAY,2,NSAMBYA RAILWAY,0,0,NSAMBYA RAILWAY,0,NSAMBYA RAILWAY,0.22
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,BUGOLOBI,0,BUGOLOBI,0.2,BUGOLOBI,95.4,4.6,BUGOLOBI,99.7,0.3,BUGOLOBI,6.9,BUGOLOBI,2.3,0.5,BUGOLOBI,0,BUGOLOBI,12,BUGOLOBI,99,1,BUGOLOBI,8.8,BUGOLOBI,5.6,1.9,BUGOLOBI,1.3,BUGOLOBI,0.43
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,BANDA,0,BANDA,0.6,BANDA,81.5,18.5,BANDA,95.1,4.9,BANDA,42.3,BANDA,3.9,3.3,BANDA,2.4,BANDA,47.2,BANDA,94.2,5.8,BANDA,57.8,BANDA,5.3,2.3,BANDA,6.7,BANDA,1
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,BUKOTO II,0,BUKOTO II,0.4,BUKOTO II,65.2,34.8,BUKOTO II,89.4,10.6,BUKOTO II,28.4,BUKOTO II,0.8,0.6,BUKOTO II,0.1,BUKOTO II,28.6,BUKOTO II,92.2,7.8,BUKOTO II,44.9,BUKOTO II,1.7,1.1,BUKOTO II,0.3,BUKOTO II,0.32
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,BUKOTO I,0,BUKOTO I,0.3,BUKOTO I,83.7,16.3,BUKOTO I,95.1,4.9,BUKOTO I,43.7,BUKOTO I,1.7,0.5,BUKOTO I,0.1,BUKOTO I,37.9,BUKOTO I,91.9,8.1,BUKOTO I,51,BUKOTO I,1.6,0.9,BUKOTO I,0.8,BUKOTO I,0.35
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,ITEK,0,ITEK,0,ITEK,100,0,ITEK,100,0,ITEK,66.7,ITEK,0,0,ITEK,0,ITEK,33.3,ITEK,100,0,ITEK,0,ITEK,0,0,ITEK,0,ITEK,1.13
KAMPALA,0,KAMPALA CAPITAL CITY,0,NAKAWA,0,BUTABIKA,0,BUTABIKA,0.5,BUTABIKA,95.4,4.6,BUTABIKA,97,3,BUTABIKA,41.8,BUTABIKA,2.6,2,BUTABIKA,0.3,BUTABIKA,40.1,BUTABIKA,97.9,2.1,BUTABIKA,49.3,BUTABIKA,5.6,2.9,BUTABIKA,3.9,BUTABIKA,0.63
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KISUGU,0,KISUGU,0.6,KISUGU,96.1,3.9,KISUGU,97.7,2.3,KISUGU,45.6,KISUGU,2.5,2.1,KISUGU,0.2,KISUGU,32.9,KISUGU,95.4,4.6,KISUGU,56.1,KISUGU,3.9,1.9,KISUGU,4.5,KISUGU,0.94
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,KIBUYE II,0,KIBUYE II,0.3,KIBUYE II,77.4,22.6,KIBUYE II,90.5,9.5,KIBUYE II,50.5,KIBUYE II,1.4,1.1,KIBUYE II,0.3,KIBUYE II,42.2,KIBUYE II,87.2,12.8,KIBUYE II,65.3,KIBUYE II,1.8,0.7,KIBUYE II,0.8,KIBUYE II,0.42
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,LUWAFU,0,LUWAFU,0.5,LUWAFU,73.1,26.9,LUWAFU,90.6,9.4,LUWAFU,31.7,LUWAFU,1.5,0.4,LUWAFU,0.1,LUWAFU,38.6,LUWAFU,89.5,10.5,LUWAFU,57,LUWAFU,1.3,1,LUWAFU,0.2,LUWAFU,0.44
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,LUKULI,0,LUKULI,0.5,LUKULI,61.8,38.2,LUKULI,89.3,10.7,LUKULI,38.1,LUKULI,2.2,0.6,LUKULI,0.1,LUKULI,35.8,LUKULI,82.1,17.9,LUKULI,48.9,LUKULI,3.3,1.2,LUKULI,0.4,LUKULI,0.43
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,MAKINDYE II,0,MAKINDYE II,0.6,MAKINDYE II,76.3,23.7,MAKINDYE II,93.4,6.6,MAKINDYE II,41,MAKINDYE II,1.1,0.4,MAKINDYE II,*,MAKINDYE II,40.7,MAKINDYE II,92.4,7.6,MAKINDYE II,61.6,MAKINDYE II,1.1,0.5,MAKINDYE II,0.4,MAKINDYE II,0.37
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,MAKINDYE I,0,MAKINDYE I,0.6,MAKINDYE I,73.8,26.2,MAKINDYE I,94.7,5.3,MAKINDYE I,48.8,MAKINDYE I,0.9,0.5,MAKINDYE I,0.1,MAKINDYE I,37.6,MAKINDYE I,94.7,5.3,MAKINDYE I,61.5,MAKINDYE I,1.8,1.2,MAKINDYE I,0.5,MAKINDYE I,0.46
