Actor ID ,Agency name,Abbreviation,Actor type,Address,Donor,Sector,Program,Refugee Programming,Beneficiaries,Detailed Activity description,Division,Parish,Start (year),Start (month),End (year),End (month)
11,PATH,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Uganda National Association of Community Occupational Health (UNACOH),WASH,Maternal and Child Health,For Refugees only,4638,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MULAGO II,2003,May ,2016,July 
12,UWASNET,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Uganda National Association of Community Occupational Health (UNACOH),Health ,Mental Health,For Refugees only,2198,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KIBULI,2016,March,2018,April
13,Reproductive Health Uganda,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Uganda National Association of Community Occupational Health (UNACOH),Education,Palliative Care,For Refugee Host community,3894,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KAMWOKYA I,2016,March,2018,April
14,IPA Uganda,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Special Needs and Inclusive Education,For Refugees only,720,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KOLOLO I,2016,March,2021,May
15,Sign Health Uganda,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Protection ,Community Health,For both Refugees and Host community,4767,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MBUYA I,2016,March,2021,May
16,Uganda Reproductive Health Bureau (URHB),ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,WASH,Disease Control,For Refugees only,50,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,LUBAGA,2003,May ,2016,July 
17,Uganda National Association of Community Occupational Health (UNACOH),ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Guidance and Counselling,For Refugees only,388,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MULAGO III,2016,March,2018,April
18,HelpAge Uganda,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Education,HIV/AIDS,For Refugee Host community,224,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUTABIKA,2016,March,2018,April
19,Forum for Education NGO's in Uganda(FENU),MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Immunization,For Refugees only,289,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAJJANANKUMBI II,2016,March,2021,May
20,Women's International Cross Cultural Exchange (ISIS - WICCE),UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Protection ,Maternal and Child Health,For both Refugees and Host community,542,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAKASERO III,2016,March,2021,May
21,Action Aid International Uganda,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,WASH,Mental Health,For Refugees only,2055,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MENGO,2003,May ,2016,July 
22,The African Network for Prevention Against Child Abuse and Neglect Uganda,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Palliative Care,For Refugees only,1748,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAGURU I,2016,March,2018,April
23,Defenders Protection Initiative,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Education,Special Needs and Inclusive Education,For Refugee Host community,3660,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KYANJA,2016,March,2018,April
24,National Association of Women Organisations in Uganda(NAWOU),MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Guidance and Counselling,For Refugees only,4907,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,UPK,2016,March,2021,May
25,Foundation for Human Rights Initiative,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Protection ,HIV/AIDS,For both Refugees and Host community,2847,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KAWEMPE I,2016,March,2021,May
26,WaterAid Uganda,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,WASH,BTVET,For Refugees only,2479,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KYEBANDO,2003,May ,2016,July 
27,Econ Children's Village,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Community Health,For Refugees only,2402,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KOLOLO III,2016,March,2018,April
28,Africa Sustainable Tourism Care Foundation (ASTCF),DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Education,Disease Control,For Refugee Host community,662,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,WANDEGEYA,2016,March,2018,April
29,ACO Africa,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Guidance and Counselling,For Refugees only,828,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,WABIGALO,2016,March,2021,May
30,Love Volunteers,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Protection ,HIV/AIDS,For both Refugees and Host community,321,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,OLD KAMPALA,2016,March,2021,May
31,Village Hope International,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,WASH,Immunization,For Refugees only,1644,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MAKINDYE II,2003,May ,2016,July 
32,MACERUDET Uganda Volunteers,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Maternal and Child Health,For Refugees only,2264,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KYAMBOGO,2016,March,2018,April
33,Kibuku Community Centre,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Education,Mental Health,For Refugee Host community,3724,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KOMAMBOGA,2016,March,2018,April
34,Kitega Community Centre,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Palliative Care,For Refugees only,2043,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NSAMBYA POLICE BARRACKS,2016,March,2021,May
35,Wal-Mark Africa Safaris,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Protection ,Special Needs and Inclusive Education,For both Refugees and Host community,270,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NDEEBA,2016,March,2021,May
36,RWEYOWA,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,WASH,Guidance and Counselling,For Refugees only,405,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUSEGA,2003,May ,2016,July 
37,Divine Children Orphanage Home,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,HIV/AIDS,For Refugees only,3678,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,MAKERERE UNIVERSITY,2016,March,2018,April
38,Uplift A Child Africa,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Education,Immunization,For Refugee Host community,714,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAKASERO I,2016,March,2018,April
39,BUVAD,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Maternal and Child Health,For Refugees only,4799,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,LUBYA,2016,March,2021,May
40,uganda womens network(UWONET),UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Protection ,Mental Health,For both Refugees and Host community,3609,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUKOTO I,2016,March,2021,May
41,Caritas Kampala,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,WASH,Palliative Care,For Refugees only,477,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KIWATULE,2003,May ,2016,July 
42,SNV,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Special Needs and Inclusive Education,For Refugees only,4025,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KANYANYA,2016,March,2018,April
43,Community intergrated development initiatives,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Education,BTVET,For Refugee Host community,4963,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KOLOLO II,2016,March,2018,April
44,somero uganda,MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Love Volunteers,Health ,Community Health,For Refugees only,868,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KAZO ANGOLA,2016,March,2021,May
45,NUHA foundation,UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Protection ,Disease Control,For both Refugees and Host community,1224,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NSAMBYA RAILWAY,2016,March,2021,May
46,Girl Child Network Uganda,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,WASH,Guidance and Counselling,For Refugees only,96,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,INDUSTRIAL AREA,2003,May ,2016,July 
47,HEPS-Uganda,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Health ,HIV/AIDS,For Refugees only,1384,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NAKASERO II,2016,March,2018,April
48,Water For People,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Education,Immunization,For Refugee Host community,4819,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KISENYI III,2016,March,2018,April
49,Action Against Hunger,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,WASH,Maternal and Child Health,For Refugees only,1469,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,BUKOTO II,2003,May ,2016,July 
50,Uganda National NGO Forum,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Health ,Mental Health,For Refugees only,2523,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KISWA,2016,March,2018,April
51,Uganda National NGO Forum,DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Education,Palliative Care,For Refugee Host community,678,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KIBUYE II,2016,March,2018,April
52,Action Group for Health Human Rights & HIV/AIDS (AGHA Uganda),MoH,Government ,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Health ,Special Needs and Inclusive Education,For Refugees only,512,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,NTINDA,2016,March,2021,May
53,Action Group for Health Human Rights & HIV/AIDS (AGHA Uganda),UNHCR ,UN,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Protection ,BTVET,For both Refugees and Host community,4335,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KAGUGUBE,2016,March,2021,May
54,Global Health Uganda,ACF,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,WASH,Community Health,For Refugees only,3118,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KATWE II,2003,May ,2016,July 
55,Uganda National NGO Forum,ARC,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Health ,Disease Control,For Refugees only,3522,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,LUZIRA,2016,March,2018,April
56,Action Group for Health Human Rights & HIV/AIDS (AGHA Uganda),DCA,NGO/CSO,"Plot 3177 Kampala
Kiwafu Crescent, Kansanga
Kampala",Village Hope International,Education,Guidance and Counselling,For Refugee Host community,3500,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ",Rubaga,KABALAGALA,2016,March,2018,April
